SL.,Station,Year,Month,Date,Temperature (maximum),Temperature(minimum),Temperature(Average),Rainfall(mm),Humidity(percentage)
206,Sylhet (10705),1987,2,1/2/1987,28.71,13.77,21.24,29,65.93
207,Sylhet (10705),1987,3,1/3/1987,29.21,18.02,23.615,184,71.97
208,Sylhet (10705),1987,4,1/4/1987,30.64,21.04,25.84,402,77.43
209,Sylhet (10705),1987,5,1/5/1987,32.29,22.97,27.63,222,77.68
210,Sylhet (10705),1987,6,1/6/1987,30.59,24.61,27.6,1057,88.87
211,Sylhet (10705),1987,7,1/7/1987,30.67,24.93,27.8,1038,90.61
212,Sylhet (10705),1987,8,1/8/1987,31.11,25.14,28.125,638,89.48
213,Sylhet (10705),1987,9,1/9/1987,31.23,24.49,27.86,922,89.17
214,Sylhet (10705),1987,10,1/10/1987,31.52,22.55,27.035,157,82.55
215,Sylhet (10705),1987,11,1/11/1987,30.07,18.33,24.2,41,77.5
216,Sylhet (10705),1987,12,1/12/1987,27.12,14.3,20.71,14,73.35
217,Sylhet (10705),1988,1,1/1/1988,26.85,13.41,20.13,0,70.52
218,Sylhet (10705),1988,2,1/2/1988,28.91,15.19,22.05,29,71.07
219,Sylhet (10705),1988,3,1/3/1988,29.92,18.47,24.195,133,70.16
220,Sylhet (10705),1988,4,1/4/1988,32.12,21.29,26.705,332,75.9
221,Sylhet (10705),1988,5,1/5/1988,29.08,22.29,25.685,1110,87.48
222,Sylhet (10705),1988,6,1/6/1988,32.21,24.27,28.24,959,84.77
223,Sylhet (10705),1988,7,1/7/1988,30.74,24.69,27.715,738,88.45
224,Sylhet (10705),1988,8,1/8/1988,30.25,24.7,27.475,1157,91.84
225,Sylhet (10705),1988,9,1/9/1988,31.36,24.28,27.82,772,86.4
226,Sylhet (10705),1988,10,1/10/1988,30.9,22.27,26.585,63,82.58
227,Sylhet (10705),1988,11,1/11/1988,29.65,18.48,24.065,122,76.17
228,Sylhet (10705),1988,12,1/12/1988,27.05,15.43,21.24,80,79.39
229,Sylhet (10705),1989,1,1/1/1989,24,11.68,17.84,6,75.45
230,Sylhet (10705),1989,2,1/2/1989,26.48,14.42,20.45,33,66.61
231,Sylhet (10705),1989,3,1/3/1989,31.32,18.31,24.815,11,62.35
232,Sylhet (10705),1989,4,1/4/1989,31.95,21.25,26.6,313,72.93
233,Sylhet (10705),1989,5,1/5/1989,32.28,24.07,28.175,543,79.65
234,Sylhet (10705),1989,6,1/6/1989,31.28,24.44,27.86,970,86.13
235,Sylhet (10705),1989,7,1/7/1989,30.84,25,27.92,1342,88.32
236,Sylhet (10705),1989,8,1/8/1989,32.28,25.17,28.725,665,85
237,Sylhet (10705),1989,9,1/9/1989,30.91,24.18,27.545,1081,88.73
238,Sylhet (10705),1989,10,1/10/1989,30.27,23.04,26.655,524,85.84
239,Sylhet (10705),1989,11,1/11/1989,28.45,17.62,23.035,34,79.13
240,Sylhet (10705),1989,12,1/12/1989,25.69,12.74,19.215,1,76.9
241,Sylhet (10705),1990,1,1/1/1990,26.54,13.69,20.115,2,82.23
242,Sylhet (10705),1990,2,1/2/1990,27.32,15.82,21.57,44,72.5
243,Sylhet (10705),1990,3,1/3/1990,27.95,17.38,22.665,176,71.97
244,Sylhet (10705),1990,4,1/4/1990,28.4,19.64,24.02,510,80.23
245,Sylhet (10705),1990,5,1/5/1990,31.4,23.52,27.46,546,79.55
246,Sylhet (10705),1990,6,1/6/1990,31.51,24.89,28.2,595,87.4
247,Sylhet (10705),1990,7,1/7/1990,31.52,25.3,28.41,784,87.45
248,Sylhet (10705),1990,8,1/8/1990,32.24,25.19,28.715,547,85.68
249,Sylhet (10705),1990,9,1/9/1990,30.69,24.29,27.49,1023,89.73
250,Sylhet (10705),1990,10,1/10/1990,30.97,22.48,26.725,216,83.45
251,Sylhet (10705),1990,11,1/11/1990,30.04,20.3,25.17,38,77.5
252,Sylhet (10705),1990,12,1/12/1990,26.55,15.09,20.82,3,74.68
